"sub","countergroup","intensity","load","dvtype","perf"
111,"C","passive","neu","rt",3.57479943369513
114,"D","passive","neu","rt",1.63926054539883
115,"B","passive","neu","rt",8.36495343221801
116,"C","passive","neu","rt",-0.188643652141105
117,"D","passive","neu","rt",-9.59244813747102
102,"C","passive","neu","rt",11.9489559164733
103,"D","passive","neu","rt",-11.8123212641171
104,"A","passive","neu","rt",2.6887343874977
107,"D","passive","neu","rt",6.51634118515537
109,"B","passive","neu","rt",-9.28369462770971
110,"C","passive","neu","rt",-13.0001201489847
112,"D","passive","neu","rt",5.50279330345691
123,"B","passive","neu","rt",4.77515583259127
124,"B","passive","neu","rt",2.32404515974057
125,"C","passive","neu","rt",1.50136223987016
126,"A","passive","neu","rt",1.33468247084898
127,"D","passive","neu","rt",-9.28040222059286
128,"A","passive","neu","rt",-5.55087057889777
129,"B","passive","neu","rt",15.4481592298686
130,"C","passive","neu","rt",0.998991000300385
100,"A","passive","con","rt",-1.09463685856596
101,"B","passive","con","rt",5.77915982163811
105,"B","passive","con","rt",-2.86628047308713
106,"C","passive","con","rt",-6.22978723404255
108,"A","passive","con","rt",-6.28766394895428
111,"C","passive","con","rt",0.886824324324327
114,"D","passive","con","rt",-2.58552501483093
115,"B","passive","con","rt",7.1571466558385
116,"C","passive","con","rt",-0.993067266254442
117,"D","passive","con","rt",-9.06332527954149
102,"C","passive","con","rt",7.35438018231446
103,"D","passive","con","rt",-8.27964080970016
104,"A","passive","con","rt",6.53944178529248
107,"D","passive","con","rt",4.11005666689425
109,"B","passive","con","rt",-10.5092826743217
110,"C","passive","con","rt",-13.5090020269465
112,"D","passive","con","rt",-4.29107635918117
123,"B","passive","con","rt",5.19083087938102
124,"B","passive","con","rt",5.30473354803427
125,"C","passive","con","rt",-0.738137082601049
126,"A","passive","con","rt",-4.39990455738487
127,"D","passive","con","rt",-7.83214499537364
128,"A","passive","con","rt",2.27379892073138
129,"B","passive","con","rt",19.1272296452314
130,"C","passive","con","rt",-2.88048909529128
