"sub","countergroup","condition","perf","dvtype","time","intensity","load"
102,"C","pre_passive_1B_RT",827.8695652,"rt","pre","passive","1B"
103,"D","pre_passive_1B_RT",565.6346154,"rt","pre","passive","1B"
104,"A","pre_passive_1B_RT",715.7058824,"rt","pre","passive","1B"
107,"D","pre_passive_1B_RT",656.9591837,"rt","pre","passive","1B"
109,"B","pre_passive_1B_RT",818.7916667,"rt","pre","passive","1B"
110,"C","pre_passive_1B_RT",745,"rt","pre","passive","1B"
112,"D","pre_passive_1B_RT",657.7346939,"rt","pre","passive","1B"
123,"B","pre_passive_1B_RT",749.7291667,"rt","pre","passive","1B"
124,"B","pre_passive_1B_RT",582.8627451,"rt","pre","passive","1B"
125,"C","pre_passive_1B_RT",587.4509804,"rt","pre","passive","1B"
126,"A","pre_passive_1B_RT",677.8235294,"rt","pre","passive","1B"
127,"D","pre_passive_1B_RT",1242.4,"rt","pre","passive","1B"
128,"A","pre_passive_1B_RT",735.2040816,"rt","pre","passive","1B"
129,"B","pre_passive_1B_RT",634.4166667,"rt","pre","passive","1B"
130,"C","pre_passive_1B_RT",647.4,"rt","pre","passive","1B"
100,"A","post_passive_1B_RT",613.4509804,"rt","post","passive","1B"
101,"B","post_passive_1B_RT",677.1020408,"rt","post","passive","1B"
105,"B","post_passive_1B_RT",644.7916667,"rt","post","passive","1B"
106,"C","post_passive_1B_RT",725.0833333,"rt","post","passive","1B"
108,"A","post_passive_1B_RT",851.7368421,"rt","post","passive","1B"
111,"C","post_passive_1B_RT",700.6956522,"rt","post","passive","1B"
114,"D","post_passive_1B_RT",728.2692308,"rt","post","passive","1B"
115,"B","post_passive_1B_RT",603.2156863,"rt","post","passive","1B"
116,"C","post_passive_1B_RT",581.5961538,"rt","post","passive","1B"
117,"D","post_passive_1B_RT",540.7884615,"rt","post","passive","1B"
102,"C","post_passive_1B_RT",545.2244898,"rt","post","passive","1B"
103,"D","post_passive_1B_RT",610.0961538,"rt","post","passive","1B"
104,"A","post_passive_1B_RT",709.5918367,"rt","post","passive","1B"
107,"D","post_passive_1B_RT",600.4901961,"rt","post","passive","1B"
109,"B","post_passive_1B_RT",650.64,"rt","post","passive","1B"
110,"C","post_passive_1B_RT",696.5744681,"rt","post","passive","1B"
112,"D","post_passive_1B_RT",614.0408163,"rt","post","passive","1B"
123,"B","post_passive_1B_RT",722.5,"rt","post","passive","1B"
124,"B","post_passive_1B_RT",578.66,"rt","post","passive","1B"
125,"C","post_passive_1B_RT",569,"rt","post","passive","1B"
126,"A","post_passive_1B_RT",565.9230769,"rt","post","passive","1B"
127,"D","post_passive_1B_RT",1222.851064,"rt","post","passive","1B"
128,"A","post_passive_1B_RT",703.625,"rt","post","passive","1B"
129,"B","post_passive_1B_RT",626.8269231,"rt","post","passive","1B"
130,"C","post_passive_1B_RT",622.88,"rt","post","passive","1B"
100,"A","pre_active_1B_RT",642.5769231,"rt","pre","active","1B"
101,"B","pre_active_1B_RT",675.2653061,"rt","pre","active","1B"
105,"B","pre_active_1B_RT",746.212766,"rt","pre","active","1B"
