"sub","countergroup","time","intensity","load","dvtype","perf"
109,"B","pre","active","neu","acc",1
110,"C","pre","active","neu","acc",0.975
112,"D","pre","active","neu","acc",0.975
123,"B","pre","active","neu","acc",1
124,"B","pre","active","neu","acc",1
125,"C","pre","active","neu","acc",1
126,"A","pre","active","neu","acc",1
127,"D","pre","active","neu","acc",0.975
128,"A","pre","active","neu","acc",0.975
129,"B","pre","active","neu","acc",1
130,"C","pre","active","neu","acc",0.975
100,"A","post","active","neu","acc",1
101,"B","post","active","neu","acc",1
105,"B","post","active","neu","acc",1
106,"C","post","active","neu","acc",1
108,"A","post","active","neu","acc",0.975
111,"C","post","active","neu","acc",1
114,"D","post","active","neu","acc",1
115,"B","post","active","neu","acc",1
116,"C","post","active","neu","acc",1
117,"D","post","active","neu","acc",1
102,"C","post","active","neu","acc",0.975
103,"D","post","active","neu","acc",1
104,"A","post","active","neu","acc",1
107,"D","post","active","neu","acc",0.975
109,"B","post","active","neu","acc",0.975
110,"C","post","active","neu","acc",1
112,"D","post","active","neu","acc",0.975
123,"B","post","active","neu","acc",1
124,"B","post","active","neu","acc",1
125,"C","post","active","neu","acc",1
126,"A","post","active","neu","acc",1
127,"D","post","active","neu","acc",1
128,"A","post","active","neu","acc",1
129,"B","post","active","neu","acc",1
130,"C","post","active","neu","acc",0.975
100,"A","pre","active","con","acc",1
101,"B","pre","active","con","acc",1
105,"B","pre","active","con","acc",1
106,"C","pre","active","con","acc",1
108,"A","pre","active","con","acc",1
111,"C","pre","active","con","acc",0.975
114,"D","pre","active","con","acc",1
115,"B","pre","active","con","acc",1
116,"C","pre","active","con","acc",0.975
117,"D","pre","active","con","acc",1
102,"C","pre","active","con","acc",0.95
103,"D","pre","active","con","acc",1
104,"A","pre","active","con","acc",1
107,"D","pre","active","con","acc",1
109,"B","pre","active","con","acc",0.975
110,"C","pre","active","con","acc",0.975
112,"D","pre","active","con","acc",0.975
123,"B","pre","active","con","acc",1
124,"B","pre","active","con","acc",1
125,"C","pre","active","con","acc",1
126,"A","pre","active","con","acc",0.975
127,"D","pre","active","con","acc",1
128,"A","pre","active","con","acc",1
129,"B","pre","active","con","acc",1
130,"C","pre","active","con","acc",1
100,"A","post","active","con","acc",1
101,"B","post","active","con","acc",0.975
105,"B","post","active","con","acc",0.975
106,"C","post","active","con","acc",1
108,"A","post","active","con","acc",1
111,"C","post","active","con","acc",1
114,"D","post","active","con","acc",1
115,"B","post","active","con","acc",1
116,"C","post","active","con","acc",1
117,"D","post","active","con","acc",1
102,"C","post","active","con","acc",0.975
103,"D","post","active","con","acc",1
104,"A","post","active","con","acc",1
107,"D","post","active","con","acc",0.975
109,"B","post","active","con","acc",1
110,"C","post","active","con","acc",0.975
112,"D","post","active","con","acc",1
123,"B","post","active","con","acc",0.975
